,date,ibl_distributor_code,total_gross_amount,location_name
0,2023-11-01,2000217691,162788.40999999986,Hasilpur          
1,2023-11-02,2000217691,205314.63999999998,Hasilpur          
2,2023-11-03,2000217691,344746.7599999996,Hasilpur          
3,2023-11-04,2000217691,26067.0,Hasilpur          
4,2023-11-05,2000217691,239865.29999999987,Hasilpur          
5,2023-11-06,2000217691,268413.11999999994,Hasilpur          
6,2023-11-07,2000217691,231962.60000000003,Hasilpur          
7,2023-11-08,2000217691,187282.53999999978,Hasilpur          
8,2023-11-09,2000217691,303305.73,Hasilpur          
9,2023-11-10,2000217691,-6235.669999999998,Hasilpur          
10,2023-11-11,2000217691,238088.90999999997,Hasilpur          
11,2023-11-12,2000217691,167951.35,Hasilpur          
12,2023-11-13,2000217691,251929.08999999973,Hasilpur          
